,2014,,2015,,2016,,2017,,2018,
,F,M,F,M,F,M,F,M,F,M
Unknown,10,23,4,7,31,21,36,37,33,32
4,19,30,18,16,78,81,79,62,63,78
5,83,129,85,101,209,262,194,227,195,221
6,272,307,251,356,617,785,598,727,552,644
7,551,739,607,673,"1,241","1,514","1,252","1,552","1,060","1,255"
8,872,"1,038",842,"1,028","1,954","2,194","1,842","2,236","1,672","1,923"
9,"1,055","1,191",997,"1,145","2,334","2,682","2,295","2,556","2,058","2,255"
10,"1,245","1,309","1,122","1,296","2,484","2,755","2,438","2,740","2,160","2,347"
11,"1,187","1,184","1,032","1,106","2,120","2,392","2,198","2,449","1,924","2,091"
12,876,862,839,940,"1,767","2,019","1,722","1,975","1,549","1,730"
13,700,747,676,731,"1,327","1,535","1,379","1,628","1,182","1,322"
14,515,640,473,564,989,"1,221","1,027","1,223",963,"1,172"
15,370,526,362,494,745,933,723,962,711,940
16,295,493,294,424,632,869,571,803,612,803
17,310,445,254,421,636,821,652,839,537,754
18,187,287,203,308,222,359,244,317,271,342
19,269,390,268,377,253,386,250,351,268,328
20,310,417,322,467,320,435,272,374,281,366
21,350,482,336,457,276,465,321,409,271,374
22,325,463,341,453,305,449,285,435,264,375
23,399,555,387,539,358,476,318,428,286,442
24,490,675,467,648,402,528,361,493,353,475
25,548,772,578,767,508,645,443,590,432,571
26,621,956,605,893,594,787,523,713,505,670
27,751,"1,054",731,"1,015",648,899,650,831,539,836
28,792,"1,157",780,"1,084",685,974,665,939,643,822
29,938,"1,389",857,"1,220",757,"1,098",723,992,642,971
30,"1,007","1,505",947,"1,396",771,"1,147",754,"1,085",763,"1,091"
31,"1,071","1,550",997,"1,452",854,"1,312",785,"1,134",762,"1,110"
32,"1,062","1,692","1,087","1,620",931,"1,329",833,"1,262",738,"1,225"
33,"1,147","1,772","1,111","1,727",974,"1,476",874,"1,325",784,"1,295"
34,"1,226","1,961","1,125","1,770","1,034","1,551",900,"1,346",827,"1,343"
35,"1,241","1,975","1,238","1,931","1,110","1,601",960,"1,497",853,"1,402"
36,"1,294","2,053","1,256","1,934","1,110","1,775","1,032","1,581",949,"1,419"
37,"1,349","2,251","1,348","2,030","1,148","1,776","1,095","1,629",980,"1,609"
38,"1,407","2,251","1,414","2,219","1,231","1,908","1,114","1,716","1,015","1,651"
39,"1,416","2,591","1,446","2,299","1,343","2,025","1,250","1,828","1,092","1,664"
40,"1,435","2,622","1,462","2,466","1,400","2,130","1,237","1,864","1,170","1,705"
41,"1,491","2,710","1,463","2,483","1,347","2,203","1,233","1,931","1,136","1,706"
42,"1,504","2,830","1,456","2,576","1,321","2,243","1,203","1,991","1,178","1,837"
43,"1,527","2,994","1,484","2,694","1,328","2,328","1,248","2,027","1,152","1,870"
44,"1,665","3,044","1,549","2,865","1,358","2,390","1,205","2,123","1,145","1,930"
45,"1,515","2,854","1,629","2,934","1,325","2,617","1,223","2,182","1,144","2,000"
46,"1,417","2,670","1,468","2,773","1,442","2,569","1,188","2,319","1,152","2,025"
47,"1,300","2,448","1,437","2,590","1,316","2,435","1,367","2,291","1,157","2,124"
48,"1,219","2,244","1,257","2,318","1,220","2,243","1,188","2,192","1,280","2,169"
49,"1,151","2,228","1,198","2,255","1,152","2,134","1,090","2,033","1,145","2,095"
50,"1,211","2,177","1,198","2,221","1,091","2,066","1,075","1,918","1,093","1,970"
51,"1,045","2,032","1,167","2,124","1,069","1,933",970,"1,866",970,"1,808"
52,964,"1,803","1,040","1,941","1,032","1,909",961,"1,726",918,"1,654"
53,866,"1,760",949,"1,700",981,"1,703",929,"1,703",908,"1,613"
54,795,"1,575",861,"1,674",854,"1,561",883,"1,551",842,"1,626"
55,696,"1,369",762,"1,498",772,"1,534",783,"1,434",805,"1,435"
56,579,"1,271",681,"1,287",721,"1,378",728,"1,355",711,"1,335"
57,504,"1,093",573,"1,215",629,"1,208",636,"1,215",679,"1,244"
58,419,993,464,"1,070",498,"1,087",538,"1,077",564,"1,137"
59,354,881,427,951,428,988,462,"1,005",488,"1,047"
60,344,811,356,822,365,840,416,934,456,967
61,270,629,322,766,310,747,346,769,385,882
62,212,533,271,606,305,678,275,638,317,665
63,161,454,197,506,231,549,262,596,262,610
64,127,381,164,429,171,464,215,481,240,587
65,96,377,126,397,141,419,152,411,197,470
66,99,325,92,356,118,347,138,359,152,396
67,75,291,83,290,80,317,116,325,110,332
68,57,255,85,281,87,260,79,283,104,285
69,43,164,56,243,71,262,78,238,67,254
70,41,155,48,158,52,232,64,228,82,237
71,16,147,41,154,41,148,43,198,53,191
72,28,103,17,137,34,134,35,125,41,177
73,22,91,23,95,14,118,28,118,31,108
74,14,64,20,82,20,83,14,119,28,105
75,9,43,10,56,18,75,17,69,10,106
76,7,42,5,39,11,51,18,66,18,65
77,6,33,4,35,5,28,9,37,16,63
78,3,16,6,34,4,32,5,28,6,35
79,3,14,2,12,6,28,3,23,5,29
80,1,8,3,12,1,11,5,27,3,21
81,2,5,1,6,2,10,0,12,3,24
82,1,10,3,7,1,7,2,9,0,13
83,1,1,1,10,1,7,0,4,2,6
84,1,7,1,2,1,7,1,4,1,6
85,0,4,1,6,1,2,1,3,0,5
86,1,2,0,3,1,6,0,2,1,5
87,0,2,1,1,0,2,1,6,,
88,0,1,0,1,1,1,0,2,1,5
89,1,2,0,1,,,1,1,0,3
90,0,2,0,2,,,,,1,0
91,,,0,2,0,2,0,1,,
92,,,,,0,3,0,1,0,1
93,,,,,,,0,2,,
94,,,,,0,1,,,0,1
95,,,,,,,0,1,,